task_sequence,time_mean,time_std,time_count,length_mean,length_std,length_count
1,280.0769230769231,189.61252663368595,13,102.06666666666666,96.31678882481398,15
2,261.14285714285717,185.73299990240628,14,109.86666666666666,82.98611473068996,15
3,215.06666666666666,120.19595112426485,15,109.8,81.99320529340046,15
4,195.46666666666667,150.9483670789768,15,104.13333333333334,75.6456652205972,15
5,135.57142857142858,108.42133928884486,14,94.46666666666667,76.20167477224655,15
6,196.13333333333333,166.83990044636317,15,96.26666666666667,75.51581354417162,15
7,203.23076923076923,163.74632507130954,13,103.93333333333334,87.73537050753953,15
8,180.78571428571428,111.68098699932258,14,115.73333333333333,102.02343334930927,15
9,139.78571428571428,144.3980495134775,14,103.06666666666666,97.46315543150995,15
10,158.46666666666667,138.87706108367246,15,94.06666666666666,88.93775244250223,15
