Dimension,Quality_Metric,Has_Mean,No_Mean,Difference,t_statistic,p_value,Significant,N_Has,N_No
SpatialComposition,AI Similarity,69.49646153846155,59.645499999999984,9.850961538461561,4.404532123720823,2.021638755166901e-05,Yes,130,20
SpatialComposition,User Manual,0.0,0.0,0.0,,,No,130,20
SpatialComposition,Average Star,5.248076923076923,3.875,1.3730769230769226,4.4786392610654095,1.4919889226833598e-05,Yes,130,20
SpatialComposition,Style,0.0,0.0,0.0,,,No,130,20
SpatialComposition,Object Count,0.0,0.0,0.0,,,No,130,20
SpatialComposition,Perspective,0.0,0.0,0.0,,,No,130,20
SpatialComposition,Depth & BG,0.0,0.0,0.0,,,No,130,20
Style,AI Similarity,71.24246753246754,64.95589041095892,6.286577121508628,4.100902611597441,6.765242101224561e-05,Yes,77,73
Style,User Manual,0.0,0.0,0.0,,,No,77,73
Style,Average Star,5.48051948051948,4.626712328767123,0.8538071517523571,4.050004567395575,8.234690945533515e-05,Yes,77,73
Style,Style,0.0,0.0,0.0,,,No,77,73
Style,Object Count,0.0,0.0,0.0,,,No,77,73
Style,Perspective,0.0,0.0,0.0,,,No,77,73
Style,Depth & BG,0.0,0.0,0.0,,,No,77,73
LightingColor,AI Similarity,69.86462264150943,64.13181818181819,5.732804459691238,3.3480147813528416,0.0010322609596957338,Yes,106,44
LightingColor,User Manual,0.0,0.0,0.0,,,No,106,44
LightingColor,Average Star,5.330188679245283,4.426136363636363,0.9040523156089195,3.8912602206325677,0.00015032134368258673,Yes,106,44
LightingColor,Style,0.0,0.0,0.0,,,No,106,44
LightingColor,Object Count,0.0,0.0,0.0,,,No,106,44
LightingColor,Perspective,0.0,0.0,0.0,,,No,106,44
LightingColor,Depth & BG,0.0,0.0,0.0,,,No,106,44
DetailTexture,AI Similarity,70.33125,66.2,4.131249999999994,2.6107158280924767,0.009964897149241491,Yes,72,78
DetailTexture,User Manual,0.0,0.0,0.0,,,No,72,78
DetailTexture,Average Star,5.368055555555555,4.785256410256411,0.5827991452991448,2.684880739878391,0.008083472332064282,Yes,72,78
DetailTexture,Style,0.0,0.0,0.0,,,No,72,78
DetailTexture,Object Count,0.0,0.0,0.0,,,No,72,78
DetailTexture,Perspective,0.0,0.0,0.0,,,No,72,78
DetailTexture,Depth & BG,0.0,0.0,0.0,,,No,72,78
Others,AI Similarity,70.2905633802817,66.28886075949367,4.0017026207880235,2.523620111353939,0.012670925137922829,Yes,71,79
Others,User Manual,0.0,0.0,0.0,,,No,71,79
Others,Average Star,5.080985915492958,5.050632911392405,0.03035300410055264,0.13647002041344827,0.8916351831896311,No,71,79
Others,Style,0.0,0.0,0.0,,,No,71,79
Others,Object Count,0.0,0.0,0.0,,,No,71,79
Others,Perspective,0.0,0.0,0.0,,,No,71,79
Others,Depth & BG,0.0,0.0,0.0,,,No,71,79
